"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:episode:3oVSxuDiphnEI9WrvFVdqo","Healing Sounds: Cleans the Aura and Space. Removes all negative energy","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","4117080","https://p.scdn.co/mp3-preview/c5ccdd8a4aee6a2802932849b16b06203595b8b6","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:07Z","","","","","","","","","","","",""
"spotify:episode:73pCD0cQV3KPJERUL8m0bK","Reiki Zen Meditation Music,Healing Music, Positive Motivating Energy","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","3608217","https://p.scdn.co/mp3-preview/e27901c3dec9156ab2bc3b2d0892bb9d526e2d59","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:10Z","","","","","","","","","","","",""
"spotify:episode:3oVSxuDiphnEI9WrvFVdqo","Healing Sounds: Cleans the Aura and Space. Removes all negative energy","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","4117080","https://p.scdn.co/mp3-preview/c5ccdd8a4aee6a2802932849b16b06203595b8b6","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:12Z","","","","","","","","","","","",""
"spotify:episode:73pCD0cQV3KPJERUL8m0bK","Reiki Zen Meditation Music,Healing Music, Positive Motivating Energy","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","3608217","https://p.scdn.co/mp3-preview/e27901c3dec9156ab2bc3b2d0892bb9d526e2d59","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:20Z","","","","","","","","","","","",""
"spotify:episode:5Krsp55kY3goGGqkBV26ej","15 Minute Super Deep Meditation Music: Relax Mind Body, Inner Peace, Relaxing Music  ","spotify:show:1dKiVyh2JEe4KrPKrvm3aB","Mediation","spotify:show:1dKiVyh2JEe4KrPKrvm3aB","Mediation","spotify:show:1dKiVyh2JEe4KrPKrvm3aB","Mediation","","https://i.scdn.co/image/698b78f04cca0c2af50e23aa97301dcb1efb550a","0","0","900925","https://p.scdn.co/mp3-preview/50b0c7107eb181aeb1425fbefa7e211bff2d223a","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:22Z","","","","","","","","","","","",""
"spotify:episode:5ohGoiZqLaoUKwU7yuMHO8","428HZ Frequency Healing Meditation Music","spotify:show:54O1sqiMQ1OvrXiqbcdtWX","Miracle Frequency Music","spotify:show:54O1sqiMQ1OvrXiqbcdtWX","Miracle Frequency Music","spotify:show:54O1sqiMQ1OvrXiqbcdtWX","Miracle Frequency Music","","https://i.scdn.co/image/57450cb292d03f3fca0ee2f84f53ab8773ec019b","0","0","10800042","https://p.scdn.co/mp3-preview/9400710eea3f829f18b3813adae6ede4cd403040","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:23Z","","","","","","","","","","","",""
"spotify:episode:07yAoOUjUjbrvP0qenStta","Meditative lord krishna flute music for positive Energy , Relaxing body and mind,meditation,yoga","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","3690346","https://p.scdn.co/mp3-preview/c23f8c78391c54c88d9046e21953cca46fa093a6","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:24Z","","","","","","","","","","","",""
"spotify:track:3h8i0I2xDaxP2ub0hE2GnL","Meditating Music","spotify:artist:5Ln0XkFxAbZgfaUS80qUQD, spotify:artist:1Cj9j44XMhQeNHAwWJRCKd, spotify:artist:0KO7u0i3RhxzCy9EPVVa7c","Relaxmydog, Sleepy Dogs, Music for Dog's Ear","spotify:album:17h7ravIZ5VNM0qzGImfBY","Powerful Songs For Dogs | Deep, Restful Sleep","spotify:artist:5Ln0XkFxAbZgfaUS80qUQD, spotify:artist:1Cj9j44XMhQeNHAwWJRCKd, spotify:artist:0KO7u0i3RhxzCy9EPVVa7c","Relaxmydog, Sleepy Dogs, Music for Dog's Ear","2021-12-06","https://i.scdn.co/image/ab67616d0000b2737efe46ee898eb0b5868ee6c1","1","38","122000","https://p.scdn.co/mp3-preview/298f94c22142d4439b2d0f6fbb4317ffe36fef48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:29Z","0.283","0.197","10","-26.083","0","0.0702","0.989","0.166","0.356","0.11","129.431","4"
"spotify:track:1sfdE3yZOKbbdz7NgldeeR","Meditating Music","spotify:artist:7faolmVD4RMkmZ84Zv18Cj, spotify:artist:1Cj9j44XMhQeNHAwWJRCKd, spotify:artist:6YO3ZIOCC4IfehEmIINv3D","Dog Music, Sleepy Dogs, Music for Calming Dogs","spotify:album:17WkfaPWbeTO8IfzH7nsPj","Total Peaceful Songs | Wellness for Dogs","spotify:artist:7faolmVD4RMkmZ84Zv18Cj, spotify:artist:1Cj9j44XMhQeNHAwWJRCKd, spotify:artist:6YO3ZIOCC4IfehEmIINv3D","Dog Music, Sleepy Dogs, Music for Calming Dogs","2021-12-29","https://i.scdn.co/image/ab67616d0000b27309e32fc9fcb5a112dc4589f7","1","22","122000","https://p.scdn.co/mp3-preview/298f94c22142d4439b2d0f6fbb4317ffe36fef48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:31Z","0.283","0.197","10","-26.083","0","0.0702","0.989","0.166","0.356","0.11","129.431","4"
"spotify:track:0tc8X6DXcqr5stcDYv9KkP","Meditating Music","spotify:artist:67RqJ79aKddLKuTVXpBOtk, spotify:artist:6NFy4cTZu2rSLxLfdBWLXt, spotify:artist:4vToy936CgayUNXOnshaio","Heavy Rain Sounds, Sleeping Baby Songs, Rainforest","spotify:album:2cwLFLakIPMpqUjWVO2I3G","Winter Relaxation Music Sounds","spotify:artist:67RqJ79aKddLKuTVXpBOtk, spotify:artist:6NFy4cTZu2rSLxLfdBWLXt, spotify:artist:4vToy936CgayUNXOnshaio","Heavy Rain Sounds, Sleeping Baby Songs, Rainforest","2022-01-30","https://i.scdn.co/image/ab67616d0000b2735870f4f671c6f4ed725bba9e","1","18","122000","https://p.scdn.co/mp3-preview/298f94c22142d4439b2d0f6fbb4317ffe36fef48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:00:33Z","0.283","0.197","10","-26.083","0","0.0702","0.989","0.166","0.356","0.11","129.431","4"
